transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi,inventory_ID,opname_stock
TRX3140855,1/1/2020,26909,Kimia Farma - Klinik & Apotek,Kupang,Nusa Tenggara Timur,4.1,Rachael Murray,KF678,"Psycholeptics drugs, Hypnotics and sedatives drugs",426700,0.06,25,426443.98,106610.995,4.9,INV4103416,42
TRX5273859,1/1/2020,31935,Kimia Farma - Apotek,Tangerang,Banten,4.4,Kevin Lopez,KF724,Drugs for obstructive airway diseases,320900,0.03,25,320803.73,80200.9325,4.9,INV6060941,75
TRX3198571,1/1/2020,67118,Kimia Farma - Klinik & Apotek,Banda Aceh,Aceh,4.7,Michael Melton,KF303,Drugs for obstructive airway diseases,498100,0.05,25,497850.95,124462.7375,3.1,INV4917425,36
TRX3198571,1/1/2020,67118,Kimia Farma - Klinik & Apotek,Banda Aceh,Aceh,4.7,Michael Melton,KF303,Drugs for obstructive airway diseases,498100,0.05,25,497850.95,124462.7375,3.1,INV5383666,45
TRX5002754,1/1/2020,46337,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4.4,Gregory Castillo,KF854,Drugs for obstructive airway diseases,681000,0.03,30,680795.7,204238.71,3.1,INV3520334,84
TRX5505304,1/1/2020,35746,Kimia Farma - Apotek,Surabaya,Jawa Timur,4.5,David White,KF448,Antihistamines for systemic use,242300,0.06,20,242154.62,48430.924,3.9,INV1701902,41
TRX4630323,1/1/2020,85807,Kimia Farma - Klinik-Apotek-Laboratorium,Palembang,Sumatera Selatan,4.9,Jeremy Harrell,KF816,Drugs for obstructive airway diseases,477100,0.03,25,476956.87,119239.2175,3.9,INV3885708,33
TRX6207319,1/1/2020,46706,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.2,Michael Elliott,KF264,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",80900,0.04,15,80867.64,12130.146,4.2,INV9409082,57
TRX9679359,1/1/2020,45890,Kimia Farma - Klinik & Apotek,Pangkalpinang,Bangka Belitung,4.4,Devin Hayden,KF264,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",80900,0.07,15,80843.37,12126.5055,4.2,INV7656220,82
TRX1523108,1/1/2020,31233,Kimia Farma - Klinik-Apotek-Laboratorium,Bogor,Jawa Barat,4.7,Krystal Gardner,KF505,"Psycholeptics drugs, Hypnotics and sedatives drugs",454900,0.11,25,454399.61,113599.9025,4.2,INV1668708,65
TRX1154687,1/1/2020,17541,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,4.9,Joshua Mcdaniel,KF664,"Psycholeptics drugs, Anxiolytic drugs",906600,0.11,30,905602.74,271680.822,4.2,INV6604598,58
TRX2444493,1/1/2020,44302,Kimia Farma - Klinik & Apotek,Deli Serdang,Sumatera Utara,3.9,Elizabeth Foster,KF198,"Other analgesics and antipyretics, Salicylic acid and derivatives",287100,0.06,20,286927.74,57385.548,4.3,INV7772367,45
TRX4948708,1/1/2020,35578,Kimia Farma - Klinik-Apotek-Laboratorium,Banjarmasin,Kalimantan Selatan,4.4,Melissa Kaiser,KF498,Drugs for obstructive airway diseases,178600,0.08,20,178457.12,35691.424,3.3,INV5048115,9
TRX5167815,1/1/2020,90608,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,4.2,Brenda Bowman,KF260,"Other analgesics and antipyretics, Pyrazolones and Anilides",118700,0.03,20,118664.39,23732.878,3.5,INV9631074,71
TRX8877921,1/1/2020,46982,Kimia Farma - Klinik-Apotek-Laboratorium,Sibolga,Sumatera Utara,4.1,Mary Arnold,KF505,"Psycholeptics drugs, Hypnotics and sedatives drugs",454900,0,25,454900,113725,3.5,INV9284801,71
TRX5955216,1/1/2020,38373,Kimia Farma - Klinik & Apotek,Bandung,Jawa Barat,4,Jeremy Manning,KF303,Drugs for obstructive airway diseases,498100,0.04,25,497900.76,124475.19,3.2,INV7724550,73
TRX6738046,1/1/2020,59260,Kimia Farma - Apotek,Ambon,Maluku,4.1,Erica Zimmerman,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.02,30,511897.6,153569.28,3.2,INV1965877,27
TRX1034264,1/1/2020,22360,Kimia Farma - Klinik-Apotek-Laboratorium,Pangkalpinang,Bangka Belitung,4.5,Brandi Patrick,KF854,Drugs for obstructive airway diseases,681000,0.04,30,680727.6,204218.28,4.5,INV1022176,47
TRX5384990,1/1/2020,63411,Kimia Farma - Klinik & Apotek,Magelang,Jawa Tengah,4.6,Joseph Lopez,KF818,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",14200,0.14,10,14180.12,1418.012,3.7,INV4233748,31
TRX3992296,1/1/2020,33796,Kimia Farma - Klinik & Apotek,Subang,Jawa Barat,4.5,Brett Colon,KF521,"Other analgesics and antipyretics, Salicylic acid and derivatives",765500,0.02,30,765346.9,229604.07,5,INV9644496,63
TRX5997376,1/1/2020,21258,Kimia Farma - Klinik-Apotek-Laboratorium,Langsa,Aceh,4.5,Karen Nelson,KF852,"Psycholeptics drugs, Anxiolytic drugs",935700,0.09,30,934857.87,280457.361,5,INV5296107,43
TRX7879681,1/1/2020,89993,Kimia Farma - Klinik & Apotek,Cikampek,Jawa Barat,4.6,Scott Hampton,KF854,Drugs for obstructive airway diseases,681000,0.07,30,680523.3,204156.99,4.9,INV8410429,12
TRX9861004,1/1/2020,37915,Kimia Farma - Klinik & Apotek,Cianjur,Jawa Barat,3.9,Aaron Anderson,KF406,"Psycholeptics drugs, Hypnotics and sedatives drugs",766200,0.06,30,765740.28,229722.084,3.4,INV9328487,91
TRX3198571,1/1/2020,67118,Kimia Farma - Klinik & Apotek,Banda Aceh,Aceh,4.7,Michael Melton,KF303,Drugs for obstructive airway diseases,498100,0.05,25,497850.95,124462.7375,3.1,INV1962816,32
TRX1031640,1/1/2020,53053,Kimia Farma - Apotek,Lubuklinggau,Sumatera Selatan,3.9,Derek Simmons,KF378,Drugs for obstructive airway diseases,283100,0.14,20,282703.66,56540.732,3.1,INV4179688,34
TRX9611585,1/1/2020,37402,Kimia Farma - Apotek,Bekasi,Jawa Barat,3.9,Melvin Stevens,KF710,Antihistamines for systemic use,958000,0.15,30,956563,286968.9,3.1,INV9915323,2
TRX2862092,1/1/2020,56877,Kimia Farma - Apotek,Subang,Jawa Barat,4.9,Juan Lopez,KF818,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",14200,0.12,10,14182.96,1418.296,3.1,INV4098057,27
TRX8446958,1/1/2020,59413,Kimia Farma - Klinik & Apotek,Denpasar,Bali,4.9,Sheila Drake,KF163,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",372200,0.08,25,371902.24,92975.56,4.2,INV1076358,58
TRX7065893,1/1/2020,30515,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.8,Lori Fisher,KF206,Antihistamines for systemic use,202700,0.07,20,202558.11,40511.622,4.2,INV9769462,71
TRX2928214,1/1/2020,73436,Kimia Farma - Apotek,Jambi,Jambi,4.4,Lisa Ferguson,KF134,Antihistamines for systemic use,832800,0.02,30,832633.44,249790.032,4.3,INV2817798,77
TRX4338510,1/1/2020,58848,Kimia Farma - Klinik & Apotek,Sibolga,Sumatera Utara,4.7,Paul Bryant,KF262,"Psycholeptics drugs, Hypnotics and sedatives drugs",149800,0.09,20,149665.18,29933.036,4.8,INV3600368,17
TRX9725379,1/1/2020,93879,Kimia Farma - Klinik-Apotek-Laboratorium,Purwakarta,Jawa Barat,4.5,Caitlin Edwards,KF724,Drugs for obstructive airway diseases,320900,0.09,25,320611.19,80152.7975,3.3,INV9072375,37
TRX1324991,1/1/2020,73436,Kimia Farma - Apotek,Jambi,Jambi,4.4,David Fuentes,KF961,"Other analgesics and antipyretics, Salicylic acid and derivatives",438100,0.01,25,438056.19,109514.0475,3.3,INV4683101,78
TRX7094799,1/1/2020,90714,Kimia Farma - Klinik & Apotek,Cikampek,Jawa Barat,4.2,Megan Cox,KF279,Antihistamines for systemic use,411000,0.08,25,410671.2,102667.8,3.8,INV2834517,19
TRX8069656,1/1/2020,76742,Kimia Farma - Klinik & Apotek,Surabaya,Jawa Timur,4,Lauren Barajas,KF310,Antihistamines for systemic use,868800,0.08,30,868104.96,260431.488,3.5,INV5441133,35
TRX3800859,1/1/2020,47547,Kimia Farma - Apotek,Pontianak,Kalimantan Barat,4.5,Eric Barber MD,KF520,Drugs for obstructive airway diseases,622500,0.08,30,622002,186600.6,3.8,INV5899211,10
TRX2091706,1/1/2020,85287,Kimia Farma - Apotek,Sorong,Papua Barat,4.9,Mary Banks,KF878,"Psycholeptics drugs, Hypnotics and sedatives drugs",533500,0.12,30,532859.8,159857.94,3.8,INV5707665,24
TRX3765096,1/1/2020,71859,Kimia Farma - Klinik-Apotek-Laboratorium,Padang,Sumatera Barat,4.3,Joshua Lawson,KF766,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",108500,0.09,20,108402.35,21680.47,3.5,INV1292612,21
TRX1778674,1/1/2020,80485,Kimia Farma - Klinik-Apotek-Laboratorium,Purwakarta,Jawa Barat,4.7,Perry Williamson,KF303,Drugs for obstructive airway diseases,498100,0.11,25,497552.09,124388.0225,4.6,INV4380189,6
TRX3342115,1/1/2020,23576,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.5,Dennis Smith,KF605,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",164900,0.02,20,164867.02,32973.404,4.6,INV5779527,51
TRX7861844,1/1/2020,61961,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.2,James Mcgrath,KF294,Antihistamines for systemic use,455900,0.05,25,455672.05,113918.0125,4,INV1586682,5
TRX2205944,1/1/2020,47108,Kimia Farma - Klinik & Apotek,Purwakarta,Jawa Barat,4.4,Joshua Patterson,KF406,"Psycholeptics drugs, Hypnotics and sedatives drugs",766200,0.08,30,765587.04,229676.112,4,INV3984621,68
TRX5907624,1/1/2020,52148,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,3.9,Lauren Peterson,KF925,"Psycholeptics drugs, Anxiolytic drugs",876600,0.07,30,875986.38,262795.914,4,INV3581370,56
TRX4435297,1/1/2020,56160,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.7,Dr. Daniel Smith,KF341,"Other analgesics and antipyretics, Pyrazolones and Anilides",626800,0.07,30,626361.24,187908.372,3.7,INV1106115,3
TRX6111498,1/1/2020,45521,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,4.8,Brian Oliver,KF310,Antihistamines for systemic use,868800,0.13,30,867670.56,260301.168,4.5,INV6197350,37
TRX7103263,1/1/2020,53383,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.6,Cody Weber,KF262,"Psycholeptics drugs, Hypnotics and sedatives drugs",149800,0.07,20,149695.14,29939.028,3.4,INV6198940,20
TRX4505736,1/1/2020,38733,Kimia Farma - Apotek,Ambon,Maluku,4.9,Matthew Bowers,KF147,Antihistamines for systemic use,684900,0.06,30,684489.06,205346.718,4.9,INV6582746,10
TRX7475413,1/1/2020,31074,Kimia Farma - Klinik-Apotek-Laboratorium,Cikampek,Jawa Barat,4.9,Bradley Perry,KF562,Drugs for obstructive airway diseases,703700,0.03,30,703488.89,211046.667,3.9,INV5319823,13
TRX7475413,1/1/2020,31074,Kimia Farma - Klinik-Apotek-Laboratorium,Cikampek,Jawa Barat,4.9,Bradley Perry,KF562,Drugs for obstructive airway diseases,703700,0.03,30,703488.89,211046.667,3.9,INV4103263,16
TRX3444528,1/1/2020,99064,Kimia Farma - Klinik-Apotek-Laboratorium,Bima,Nusa Tenggara Barat,4.3,Alejandra Duarte,KF853,"Psycholeptics drugs, Hypnotics and sedatives drugs",491800,0.01,25,491750.82,122937.705,3.6,INV4977278,79
TRX2992017,1/1/2020,60617,Kimia Farma - Klinik & Apotek,Ternate,Maluku Utara,4.3,Hannah Barker,KF448,Antihistamines for systemic use,242300,0.14,20,241960.78,48392.156,4.3,INV5590833,26
TRX7277286,1/1/2020,27583,Kimia Farma - Apotek,Denpasar,Bali,5,Frank Escobar,KF933,"Psycholeptics drugs, Anxiolytic drugs",86500,0.05,15,86456.75,12968.5125,4.7,INV9390205,3
TRX4096129,1/1/2020,39746,Kimia Farma - Klinik-Apotek-Laboratorium,Purwakarta,Jawa Barat,4.1,Paul Barker,KF451,Drugs for obstructive airway diseases,933600,0.08,30,932853.12,279855.936,4.8,INV2356074,16
TRX2703690,1/1/2020,83196,Kimia Farma - Klinik & Apotek,Medan,Sumatera Utara,4.7,William Nelson DDS,KF664,"Psycholeptics drugs, Anxiolytic drugs",906600,0,30,906600,271980,4.8,INV6316856,68
TRX4531920,1/1/2020,66696,Kimia Farma - Klinik-Apotek-Laboratorium,Denpasar,Bali,4,Anne Hall,KF925,"Psycholeptics drugs, Anxiolytic drugs",876600,0.12,30,875548.08,262664.424,3.3,INV1124419,42
TRX9616005,1/1/2020,60964,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4.3,Jessica Hurst,KF245,Antihistamines for systemic use,740100,0.09,30,739433.91,221830.173,3.5,INV8683478,87
TRX1649632,1/1/2020,31576,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,4.4,William Brown,KF448,Antihistamines for systemic use,242300,0.01,20,242275.77,48455.154,3.8,INV7400253,86
TRX3170594,1/1/2020,67593,Kimia Farma - Klinik-Apotek-Laboratorium,Manado,Sulawesi Utara,4.1,Samuel Vasquez,KF548,"Other analgesics and antipyretics, Pyrazolones and Anilides",877500,0.06,30,876973.5,263092.05,3.8,INV5255086,32
TRX6936977,1/1/2020,89306,Kimia Farma - Klinik-Apotek-Laboratorium,Yogyakarta,DI Yogyakarta,4.8,Jennifer Caldwell,KF425,"Psycholeptics drugs, Anxiolytic drugs",102100,0.01,20,102089.79,20417.958,3.5,INV2203827,6
TRX9681478,1/1/2020,89156,Kimia Farma - Klinik & Apotek,Pontianak,Kalimantan Barat,4,Wyatt Hernandez,KF198,"Other analgesics and antipyretics, Salicylic acid and derivatives",287100,0.12,20,286755.48,57351.096,3.2,INV9789553,65
TRX2654810,1/1/2020,21583,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.9,Calvin Edwards,KF346,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",384900,0.07,25,384630.57,96157.6425,4.5,INV3044763,64
TRX3074593,1/1/2020,99409,Kimia Farma - Apotek,Bekasi,Jawa Barat,4,Michael Collins,KF134,Antihistamines for systemic use,832800,0.1,30,831967.2,249590.16,4.4,INV9593490,9
TRX8980706,1/1/2020,90734,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.6,Kimberly Patel,KF378,Drugs for obstructive airway diseases,283100,0,20,283100,56620,3.6,INV3946016,12
TRX6948372,1/1/2020,44522,Kimia Farma - Klinik & Apotek,Langsa,Aceh,4.6,Brian Brown,KF600,"Other analgesics and antipyretics, Salicylic acid and derivatives",843000,0.15,30,841735.5,252520.65,3.6,INV3831115,63
TRX7065893,1/1/2020,30515,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.8,Lori Fisher,KF206,Antihistamines for systemic use,202700,0.07,20,202558.11,40511.622,4.2,INV8459815,40
TRX6207319,1/1/2020,46706,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.2,Michael Elliott,KF264,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",80900,0.04,15,80867.64,12130.146,4.2,INV5225520,25
TRX4581085,1/1/2020,96462,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.1,Thomas Palmer,KF380,"Psycholeptics drugs, Hypnotics and sedatives drugs",835700,0.08,30,835031.44,250509.432,4.2,INV2114819,43
TRX1786576,1/1/2020,15943,Kimia Farma - Klinik & Apotek,Surabaya,Jawa Timur,4.7,Antonio White,KF180,"Other analgesics and antipyretics, Pyrazolones and Anilides",739900,0.09,30,739234.09,221770.227,4.3,INV6147371,76
TRX5427320,1/1/2020,61610,Kimia Farma - Klinik & Apotek,Jayapura,Papua,4.3,Michael Kelly,KF600,"Other analgesics and antipyretics, Salicylic acid and derivatives",843000,0.04,30,842662.8,252798.84,4.3,INV6040571,73
TRX8068738,1/1/2020,99485,Kimia Farma - Klinik-Apotek-Laboratorium,Cilacap,Jawa Tengah,4.8,Melanie King,KF395,Drugs for obstructive airway diseases,755400,0.03,30,755173.38,226552.014,3.3,INV1508947,77
TRX3170594,1/1/2020,67593,Kimia Farma - Klinik-Apotek-Laboratorium,Manado,Sulawesi Utara,4.1,Samuel Vasquez,KF548,"Other analgesics and antipyretics, Pyrazolones and Anilides",877500,0.06,30,876973.5,263092.05,3.8,INV7992120,45
TRX7812218,1/1/2020,28892,Kimia Farma - Klinik-Apotek-Laboratorium,Samarinda,Kalimantan Timur,4.8,Timothy Frank,KF741,"Psycholeptics drugs, Hypnotics and sedatives drugs",464900,0.13,25,464295.63,116073.9075,3.8,INV5746308,93
TRX7986031,1/1/2020,27128,Kimia Farma - Klinik & Apotek,Madiun,Jawa Timur,4.6,Michael Vaughan,KF574,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",467000,0,25,467000,116750,3.5,INV9721320,87
TRX3717222,1/1/2020,98676,Kimia Farma - Apotek,Malang,Jawa Timur,4.4,Michele Duncan,KF740,Drugs for obstructive airway diseases,224800,0.12,20,224530.24,44906.048,4.1,INV6042823,83
TRX8794642,1/1/2020,56376,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,4.2,Shannon King,KF786,Drugs for obstructive airway diseases,532900,0.01,30,532846.71,159854.013,4.1,INV4728071,30
TRX7390948,1/1/2020,67333,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.4,Mallory Evans,KF824,"Psycholeptics drugs, Hypnotics and sedatives drugs",787700,0.13,30,786675.99,236002.797,4.1,INV9185862,100
TRX2488613,1/1/2020,85946,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4,Anna Hodge,KF981,"Other analgesics and antipyretics, Salicylic acid and derivatives",314600,0.12,25,314222.48,78555.62,4.1,INV9100914,92
TRX3643576,1/1/2020,37651,Kimia Farma - Klinik & Apotek,Payakumbuh,Sumatera Barat,4.1,Christopher Allen,KF152,Drugs for obstructive airway diseases,636200,0.13,30,635372.94,190611.882,4.6,INV4180679,36
TRX3342115,1/1/2020,23576,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,4.5,Dennis Smith,KF605,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",164900,0.02,20,164867.02,32973.404,4.6,INV5954376,9
TRX5908814,1/1/2020,42069,Kimia Farma - Klinik & Apotek,Sibolga,Sumatera Utara,4.4,William Hanson,KF724,Drugs for obstructive airway diseases,320900,0.14,25,320450.74,80112.685,4.6,INV9357504,36
TRX9721852,1/1/2020,84286,Kimia Farma - Klinik-Apotek-Laboratorium,Banjarmasin,Kalimantan Selatan,4.8,Johnny Hawkins,KF163,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",372200,0.13,25,371716.14,92929.035,4.5,INV5484495,8
TRX8855550,1/1/2020,14338,Kimia Farma - Klinik & Apotek,Cilacap,Jawa Tengah,4,Megan Simmons,KF664,"Psycholeptics drugs, Anxiolytic drugs",906600,0.02,30,906418.68,271925.604,3.2,INV9891721,96
TRX3485787,1/1/2020,50270,Kimia Farma - Apotek,Madiun,Jawa Timur,4.5,Lauren Glass,KF824,"Psycholeptics drugs, Hypnotics and sedatives drugs",787700,0.02,30,787542.46,236262.738,3.2,INV4064351,25
TRX7842122,1/1/2020,15338,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,3.9,Matthew Thomas,KF279,Antihistamines for systemic use,411000,0.11,25,410547.9,102636.975,4.5,INV3134564,17
TRX9384287,1/1/2020,42307,Kimia Farma - Apotek,Dumai,Riau,4.6,Maria Sanders,KF943,"Other analgesics and antipyretics, Salicylic acid and derivatives",5500,0.09,10,5495.05,549.505,4.5,INV9072336,68
TRX3958062,1/1/2020,16780,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.2,Nicole Hodges,KF163,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",372200,0.14,25,371678.92,92919.73,4.9,INV3943661,94
TRX7879681,1/1/2020,89993,Kimia Farma - Klinik & Apotek,Cikampek,Jawa Barat,4.6,Scott Hampton,KF854,Drugs for obstructive airway diseases,681000,0.07,30,680523.3,204156.99,4.9,INV5988526,91
TRX4091591,1/1/2020,64433,Kimia Farma - Klinik & Apotek,Bandung,Jawa Barat,4.1,Matthew Ortiz,KF605,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",164900,0.06,20,164801.06,32960.212,3.1,INV6142690,78
TRX6948372,1/1/2020,44522,Kimia Farma - Klinik & Apotek,Langsa,Aceh,4.6,Brian Brown,KF600,"Other analgesics and antipyretics, Salicylic acid and derivatives",843000,0.15,30,841735.5,252520.65,3.6,INV4433363,81
TRX5431952,1/1/2020,57911,Kimia Farma - Klinik & Apotek,Medan,Sumatera Utara,4,Matthew Salinas,KF466,"Psycholeptics drugs, Anxiolytic drugs",119300,0.08,20,119204.56,23840.912,3.9,INV3158573,5
TRX8812627,1/1/2020,83698,Kimia Farma - Klinik & Apotek,Payakumbuh,Sumatera Barat,4,Jessica Chavez,KF808,"Psycholeptics drugs, Anxiolytic drugs",158900,0.02,20,158868.22,31773.644,3.6,INV4092295,72
TRX8446958,1/1/2020,59413,Kimia Farma - Klinik & Apotek,Denpasar,Bali,4.9,Sheila Drake,KF163,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",372200,0.08,25,371902.24,92975.56,4.2,INV2971358,11
TRX7574650,1/1/2020,48257,Kimia Farma - Apotek,Bandung,Jawa Barat,4.7,Raymond Taylor,KF425,"Psycholeptics drugs, Anxiolytic drugs",102100,0.09,20,102008.11,20401.622,4.2,,
TRX8207855,1/1/2020,66651,Kimia Farma - Klinik & Apotek,Batam,Kepulauan Riau,4.4,Matthew Parsons,KF492,"Psycholeptics drugs, Hypnotics and sedatives drugs",751900,0.03,30,751674.43,225502.329,4.2,INV4909927,76
TRX2366632,1/1/2020,61422,Kimia Farma - Klinik & Apotek,Kupang,Nusa Tenggara Timur,4.1,Katelyn Gonzales,KF786,Drugs for obstructive airway diseases,532900,0.1,30,532367.1,159710.13,4.2,INV1476322,20
TRX6844484,1/1/2020,93093,Kimia Farma - Klinik-Apotek-Laboratorium,Indramayu,Jawa Barat,5,Lisa Reyes,KF685,"Anti-inflammatory and antirheumatic products, non-steroids, Acetic acid derivatives and related substances",740400,0.07,30,739881.72,221964.516,4.3,INV7861515,91
TRX7744855,1/1/2020,30515,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.8,Ashley Hurley,KF953,Drugs for obstructive airway diseases,997500,0.04,30,997101,299130.3,4.7,INV1577730,85
TRX9868488,1/1/2020,96742,Kimia Farma - Apotek,Garut,Jawa Barat,4.4,Robert Jackson,KF460,"Psycholeptics drugs, Anxiolytic drugs",334300,0,25,334300,83575,4.8,INV2352187,91
TRX7430726,1/1/2020,18894,Kimia Farma - Klinik-Apotek-Laboratorium,Karawang,Jawa Barat,4.7,Dr. John Le,KF467,"Other analgesics and antipyretics, Salicylic acid and derivatives",703900,0.14,30,702914.54,210874.362,4.8,INV3660816,36
TRX4145032,1/1/2020,93763,Kimia Farma - Klinik-Apotek-Laboratorium,Banjarmasin,Kalimantan Selatan,4.8,Heidi Guerra,KF162,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",840200,0.08,30,839527.84,251858.352,3.3,INV1948948,97
TRX2879687,1/1/2020,29371,Kimia Farma - Klinik-Apotek-Laboratorium,Kendari,Sulawesi Tenggara,4.8,Melissa Bradley,KF425,"Psycholeptics drugs, Anxiolytic drugs",102100,0.03,20,102069.37,20413.874,3.3,INV5266022,41
TRX4146597,1/1/2020,39388,Kimia Farma - Klinik & Apotek,Tebing Tinggi,Sumatera Utara,4.2,Traci Carey,KF696,"Other analgesics and antipyretics, Pyrazolones and Anilides",125100,0.03,20,125062.47,25012.494,3.8,INV5808026,65
TRX4659587,1/1/2020,94113,Kimia Farma - Klinik & Apotek,Lubuklinggau,Sumatera Selatan,4.5,Kenneth Cruz,KF607,"Anti-inflammatory and antirheumatic products, non-steroids, Propionic acid derivatives",923700,0.04,30,923330.52,276999.156,4.1,INV5247979,100
TRX4075231,1/1/2020,20554,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,4.2,Rodney Campbell,KF389,Drugs for obstructive airway diseases,761700,0.01,30,761623.83,228487.149,4,INV5611325,83
